,Smiles,ROMol,fp,expt,is_active,cycle
1997,[H]c1nc([H])c(-c2c([H])c([H])c([H])c(OC([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00f20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e60b0>,gp_200_UCB_False_10,False,1
1998,[H]c1nc([H])c(-n2nnc(-c3c([H])nc([H])c(F)c3[H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00f90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b0713f430>,gp_200_UCB_False_10,False,1
1977,[H]c1nc([H])c(-n2nnc(C([H])([H])N3C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C3([H])[H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b06040>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b0713fba0>,gp_200_UCB_False_10,False,1
1976,[H]c1nc([H])c(Sc2c([H])c([H])c(F)c([H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b060b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b0713f820>,gp_200_UCB_False_10,False,1
1975,[H]OC([H])([H])C([H])([H])N([H])S(=O)(=O)N(c1c([H])nc([H])c([H])c1[H])C([H])([H])[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b06120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b0713feb0>,gp_200_UCB_False_10,False,1
1974,[H]c1nc([H])c(N2C([H])([H])C([H])([H])C([H])([H])[C@]2([H])c2c([H])nc(OC([H])([H])[H])c([H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b06190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b0713f970>,gp_200_UCB_False_10,False,1
1952,[H]c1nc(-c2c([H])nc([H])c([H])c2[H])c(-c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])nc1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b06200>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b0713f120>,gp_200_UCB_False_10,False,1
1953,[H]c1nc([H])c(N2C([H])([H])C([H])([H])N(N3C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b06270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b0713f270>,gp_200_UCB_False_10,False,1
1954,[H]c1nc([H])c(O[C@]([H])(c2c([H])c([H])nc([H])c2[H])C([H])([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b062e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b0713f5f0>,gp_200_UCB_False_10,False,1
1955,[H]c1nc([H])c([C@@]([H])(OC([H])([H])C(=O)N([H])[H])C([H])([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b06350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b0713f740>,gp_200_UCB_False_10,False,1
